year,state,source,winner,loser,winner_party,winner_vote_pct,loser_vote_pct,winner_mention_share,loser_mention_share,winner_ngrams_freq,loser_ngrams_freq,attention_leader_won,status
1966,IA,Google Ngrams,Harold Hughes,William G. Murray,D,0.5534,0.4417,0.7634512665880511,0.23654873341194893,2.9381977739717513e-08,9.10375019813614e-09,1.0,ok
1966,KS,Google Ngrams,Robert Docking,William H. Avery,D,0.5479999999999999,0.439,0.12091270013294707,0.8790872998670529,8.583879385071214e-09,6.24084925959778e-08,0.0,ok
1966,ME,Google Ngrams,Kenneth Curtis,John Reed,D,0.5312,0.4688,0.019770529085455187,0.9802294709145448,5.015138748731829e-09,2.48652263223903e-07,0.0,ok
1966,MD,Google Ngrams,Spiro Agnew,George P. Mahoney,R,0.495,0.4061,0.5773412785667826,0.42265872143321737,1.303072494351909e-08,9.539504186584224e-09,1.0,ok
1966,MA,Google Ngrams,John Volpe,Edward McCormack Jr.,R,0.6258,0.3688,0.6634807408547143,0.3365192591452857,2.7732507845712462e-08,1.406600436126837e-08,1.0,ok
1966,MI,Google Ngrams,George W. Romney,Zolton Ferency,R,0.6053999999999999,0.3913,0.8570812222833047,0.14291877771669526,3.8615720399093334e-08,6.439193178664482e-09,1.0,ok
1966,MN,Google Ngrams,Harold LeVander,Karl Rolvaag,R,0.5255,0.4694,0.4039571003277152,0.5960428996722849,1.7163833465616563e-08,2.5325414654275846e-08,0.0,ok
1966,NE,Google Ngrams,Norbert Tiemann,Philip Sorensen,R,0.615,0.384,0.4152182333415143,0.5847817666584857,2.1387981385956323e-09,3.012223581677631e-09,0.0,ok
1966,NV,Google Ngrams,Paul Laxalt,Grant Sawyer,R,0.5216,0.4784,0.21877000358025955,0.7812299964197404,2.49378491190555e-08,8.905332293807078e-08,0.0,ok
1966,NH,Google Ngrams,John W. King,Hugh Gregg,D,0.5388000000000001,0.4590999999999999,0.9530057885805531,0.04699421141944693,7.33663263474682e-08,3.617808719269533e-09,1.0,ok
1966,NM,Google Ngrams,David Cargo,Gene Lusk,R,0.5173,0.4826,0.9315733769599699,0.06842662304003011,4.517958673844191e-09,3.318564728571616e-10,1.0,ok
1966,NY,Google Ngrams,Nelson Rockefeller,Frank D. O'Connor,R,0.446,0.381,0.9185495655239575,0.0814504344760425,3.586010564049502e-07,3.179818808263235e-08,1.0,ok
1966,OH,Google Ngrams,Jim Rhodes,Frazier Reams Jr.,R,0.6218,0.3782,0.13598677228521833,0.8640132277147816,2.7463459284504665e-09,1.7449338418629168e-08,0.0,ok
1966,OK,Google Ngrams,Dewey F. Bartlett,Preston J. Moore,R,0.5568,0.4375,0.7002525578506755,0.2997474421493245,9.534821598933263e-09,4.081439408665233e-09,1.0,ok
1966,OR,Google Ngrams,Tom McCall,Robert Straub,R,0.5526,0.4467,0.8900357363772193,0.10996426362278067,2.7600551177897614e-08,3.4100589019203653e-09,1.0,ok
1966,PA,Google Ngrams,Ray Shafer,Milton Shapp,R,0.521,0.461,0.15853180507204848,0.8414681949279516,2.940356735869898e-09,1.560706808234613e-08,0.0,ok
1966,RI,Google Ngrams,John Chafee,Horace E. Hobbs,R,0.633,0.367,0.811326847541008,0.18867315245899197,8.436973786274393e-09,1.9620088331784302e-09,1.0,ok
1966,SC,Google Ngrams,Robert Evander McNair,Joseph O. Rogers Jr.,D,0.5820000000000001,0.418,0.020944880597527415,0.9790551194024726,7.141229274587602e-11,3.3381221953288076e-09,0.0,ok
