year,state,winner,loser,winner_party,loser_party,winner_pct,loser_pct
1968,Wisconsin,Warren P. Knowles,Bronson C. La Follette,R,D,0.5288,0.4682
1969,Maryland,Marvin Mandel,Rogers Morton,D,R,0.7,0.1444
1969,New Jersey,William T. Cahill,Robert B. Meyner,R,D,0.597,0.385
1969,Virginia,Linwood Holton,William C. Battle,R,D,0.525,0.4539999999999999
1970,Alaska,Bill Egan,Keith H. Miller,D,R,0.5238,0.4613
1970,Arizona,Jack Williams,Raúl Héctor Castro,R,D,0.509,0.491
1970,Arkansas,Dale Bumpers,Winthrop Rockefeller,D,R,0.6165999999999999,0.3240999999999999
1970,California,Ronald Reagan,Jesse Unruh,R,D,0.5284,0.4514
1970,Colorado,John Arthur Love,Mark Anthony Hogan,R,D,0.5246,0.4524
1970,Connecticut,Thomas J. Meskill,Emilio Q. Daddario,R,D,0.5376,0.4623
1970,Florida,Reubin Askew,Claude R. Kirk Jr.,D,R,0.569,0.431
1970,Georgia,Jimmy Carter,Hal Suit,D,R,0.5935,0.4065
1970,Hawaii,John A. Burns,Samuel King,D,R,0.5760000000000001,0.424
1970,Idaho,Cecil Andrus,Don Samuelson,D,R,0.5222,0.4778
1970,Iowa,Robert D. Ray,Robert D. Fulton,R,D,0.51,0.466
1970,Kansas,Robert Docking,Kent Frizzell,D,R,0.5429999999999999,0.447
1970,Maine,Kenneth Curtis,James Erwin,D,R,0.5014,0.4986
1970,Maryland,Marvin Mandel,Charles Stanley Blair,D,R,0.6573,0.3229999999999999
1970,Massachusetts,Francis Sargent,Kevin White,R,D,0.5667,0.4279
1970,Michigan,William Milliken,Sander Levin,R,D,0.504,0.487
1970,Minnesota,Wendell Anderson,Douglas M. Head,D,R,0.5404,0.4553999999999999
1970,Nebraska,James Exon,Norbert Tiemann,D,R,0.5379999999999999,0.4379999999999999
1970,Nevada,Mike O'Callaghan,Ed Fike,D,R,0.481,0.4381
1970,New Hampshire,Walter R. Peterson Jr.,Roger J. Crowley,R,D,0.4599,0.441
1970,New Mexico,Bruce King,Pete Domenici,D,R,0.5126,0.4637
1970,New York,Nelson Rockefeller,Arthur Goldberg,R,D,0.524,0.4029999999999999
1970,Ohio,John J. Gilligan,Roger Cloud,D,R,0.5418999999999999,0.4342
1970,Oklahoma,David Hall,Dewey F. Bartlett,D,R,0.4842,0.4810999999999999
1970,Oregon,Tom McCall,Robert Straub,R,D,0.5552,0.441
1970,Pennsylvania,Milton Shapp,Ray Broderick,D,R,0.5529999999999999,0.4175999999999999
1970,Rhode Island,Frank Licht,Herbert DeSimone,D,R,0.5007,0.4953
1970,South Carolina,John C. West,Albert Watson,D,R,0.521,0.4589999999999999
1970,South Dakota,Richard F. Kneip,Frank Farrar,D,R,0.5485,0.4515
1970,Tennessee,Winfield Dunn,John Jay Hooker,R,D,0.5195000000000001,0.4598
1970,Texas,Preston Smith,Paul Eggers,D,R,0.534,0.466
1970,Vermont,Deane C. Davis,Leo O'Brien Jr.,R,D,0.57,0.43
1970,Wisconsin,Patrick Lucey,Jack B. Olson,D,R,0.5424,0.4488
1970,Wyoming,Stanley Hathaway,John J. Rooney,R,D,0.6279,0.3721
1971,Kentucky,Wendell Ford,Thomas Emberton,D,R,0.5056,0.4435
1971,Louisiana,Edwin Edwards,David Treen,D,R,0.5717,0.4282999999999999
1972,Arkansas,Dale Bumpers,Len E. Blaylock,D,R,0.7544,0.2455999999999999
1972,Delaware,Sherman W. Tribbitt,Russell W. Peterson,D,R,0.5127,0.4790999999999999
1972,Illinois,Dan Walker,Richard B. Ogilvie,D,R,0.5068,0.4902
1972,Indiana,Otis Bowen,Matthew E. Welsh,R,D,0.5677,0.4246
1972,Iowa,Robert D. Ray,Paul Franzenburg,R,D,0.584,0.4029999999999999
1972,Kansas,Robert Docking,Morris Kay,D,R,0.62,0.371
1972,Louisiana,Edwin Edwards,David Treen,D,R,0.5717,0.4282999999999999
1972,Missouri,Kit Bond,Edward L. Dowd,R,D,0.552,0.446
1972,Montana,Thomas Lee Judge,Ed Smith,D,R,0.5412,0.4588
1972,New Hampshire,Meldrim Thomson,Roger J. Crowley,R,D,0.4138,0.3903
1972,North Carolina,James Holshouser,Skipper Bowles,R,D,0.51,0.4845
1972,North Dakota,Arthur A. Link,Richard F. Larsen,D,R,0.51,0.49
1972,Rhode Island,Philip Noel,Herbert DeSimone,D,R,0.5255,0.4707
1972,South Dakota,Richard F. Kneip,Carveth Thompson,D,R,0.6,0.4
1972,Texas,Dolph Briscoe,Henry Grover,D,R,0.479,0.45
1972,Utah,Cal Rampton,Nicholas L. Strike,D,R,0.6968000000000001,0.3032
1972,Vermont,Thomas P. Salmon,Luther F. Hackett,D,R,0.5529999999999999,0.436
1972,Washington,Daniel J. Evans,Albert Rosellini,R,D,0.5078,0.4282
1972,West Virginia,Arch A. Moore Jr.,Jay Rockefeller,R,D,0.5474,0.4526
1973,New Jersey,Brendan Byrne,Charles W. Sandman Jr.,D,R,0.667,0.319
1974,Alabama,George Wallace,Elvin McCary,D,R,0.8316,0.1477
1974,Alaska,Jay Hammond,Bill Egan,R,D,0.4767,0.4736999999999999
1974,Arizona,Raúl Héctor Castro,Russell Williams,D,R,0.504,0.496
1974,Arkansas,David Pryor,Ken Coon,D,R,0.6557,0.3440999999999999
1974,California,Jerry Brown,Houston Flournoy,D,R,0.5011,0.4725
1974,Colorado,Richard Lamm,John Vanderhoof,D,R,0.5322,0.4571
1974,Connecticut,Ella Grasso,Robert H. Steele,D,R,0.5835,0.3992
1974,Florida,Reubin Askew,Jerry Thomas,D,R,0.612,0.3879999999999999
1974,Georgia,George Busbee,Ronnie Thompson,D,R,0.691,0.309
1974,Hawaii,George Ariyoshi,Randolph Crossley,D,R,0.546,0.4539999999999999
1974,Idaho,Cecil Andrus,Jack Murphy,D,R,0.7092,0.2647
1974,Iowa,Robert D. Ray,James Schaben,R,D,0.581,0.41
1974,Kansas,Robert F. Bennett,Vern Miller,R,D,0.495,0.49
1974,Maryland,Marvin Mandel,Louise Gore,D,R,0.635,0.365
1974,Massachusetts,Michael Dukakis,Francis Sargent,D,R,0.535,0.4229
1974,Michigan,William Milliken,Sander Levin,R,D,0.511,0.4679999999999999
1974,Minnesota,Wendell Anderson,John W. Johnson,D,R,0.628,0.2935
1974,Nebraska,James Exon,Richard D. Marvel,D,R,0.5920000000000001,0.354
1974,Nevada,Mike O'Callaghan,Shirley Crumpler,D,R,0.6738,0.171
1974,New Hampshire,Meldrim Thomson,Richard W. Leonard,R,D,0.5115,0.4879
1974,New Mexico,Jerry Apodaca,Joe Skeen,D,R,0.4993999999999999,0.488
1974,New York,Hugh Carey,Malcolm Wilson,D,R,0.5722,0.4194
1974,Ohio,Jim Rhodes,John J. Gilligan,R,D,0.4861999999999999,0.4825
1974,Oklahoma,David Boren,Jim Inhofe,D,R,0.6391,0.3609
1974,Oregon,Robert Straub,Victor Atiyeh,D,R,0.5771999999999999,0.4214
1974,Pennsylvania,Milton Shapp,Drew Lewis,D,R,0.5366,0.4511
1974,Rhode Island,Philip Noel,James W. Nugent,D,R,0.7848,0.2152
1974,South Carolina,James B. Edwards,W.J. Bryan Dorn,R,D,0.503,0.47
1974,South Dakota,Richard F. Kneip,John E. Olson,D,R,0.536,0.4639999999999999
1974,Tennessee,Ray Blanton,Lamar Alexander,D,R,0.5543,0.4377
1974,Texas,Dolph Briscoe,Jim Granberry,D,R,0.614,0.311
1974,Vermont,Thomas P. Salmon,Walter L. Kennedy,D,R,0.565,0.381
1974,Wisconsin,Patrick Lucey,William Dyke,D,R,0.5318999999999999,0.4206
1974,Wyoming,Edgar Herschler,Dick Jones,D,R,0.5588000000000001,0.4412
1975,Kentucky,Julian Carroll,Bob Gable,D,R,0.6284000000000001,0.3716
1975,Mississippi,Cliff Finch,Gil Carmichael,D,R,0.5219,0.4514
1976,Arkansas,David Pryor,Leon Griffith,D,R,0.8323999999999999,0.1674
1976,Delaware,Pete du Pont,Sherman W. Tribbitt,R,D,0.5686,0.4246
1976,Illinois,Jim Thompson,Michael Howlett,R,D,0.6468,0.3471
1976,Indiana,Otis Bowen,Larry A. Conrad,R,D,0.5685,0.4263
1976,Missouri,Joseph Teasdale,Kit Bond,D,R,0.502,0.496
1976,Montana,Thomas Lee Judge,Bob Woodahl,D,R,0.617,0.366
1976,New Hampshire,Meldrim Thomson,Harry V. Spanos,R,D,0.5766,0.4232
1976,North Carolina,Jim Hunt,David Flaherty,D,R,0.6498999999999999,0.3389999999999999
1976,North Dakota,Arthur A. Link,Richard Elkin,D,R,0.516,0.465
1976,Rhode Island,J. Joseph Garrahy,James L. Taft Jr.,D,R,0.5482,0.4471
1976,Utah,Scott M. Matheson,Vernon B. Romney,D,R,0.5202,0.4596
1976,Vermont,Richard Snelling,Stella B. Hackel,R,D,0.534,0.4039999999999999
1976,Washington,Dixy Lee Ray,John Spellman,D,R,0.5314,0.4443
1976,West Virginia,Jay Rockefeller,Cecil H. Underwood,D,R,0.6615000000000001,0.3382
1977,New Jersey,Brendan Byrne,Raymond Bateman,D,R,0.557,0.418
1977,Virginia,John N. Dalton,Henry Howell,R,D,0.5589999999999999,0.433
1978,Alabama,Fob James,H. Guy Hunt,D,R,0.726,0.259
1978,Arizona,Bruce Babbitt,Evan Mecham,D,R,0.525,0.4479999999999999
1978,Arkansas,Bill Clinton,Lynn Lowe,D,R,0.6335999999999999,0.3664
1978,California,Jerry Brown,Evelle Younger,D,R,0.5605,0.365
1978,Colorado,Richard Lamm,Ted L. Strickland,D,R,0.5876,0.3853
1978,Connecticut,Ella Grasso,Ronald Sarasin,D,R,0.5915,0.4074
1978,Florida,Bob Graham,Jack Eckerd,D,R,0.5559000000000001,0.4440999999999999
1978,Georgia,George Busbee,Rodney Mims Cook Sr.,D,R,0.807,0.193
1978,Hawaii,George Ariyoshi,John Leopold,D,R,0.545,0.4429999999999999
1978,Idaho,John Evans,Allan Larsen,D,R,0.5875,0.3956
1978,Illinois,Jim Thompson,Michael Bakalis,R,D,0.5904,0.401
1978,Iowa,Robert D. Ray,Jerome D. Fitzgerald,R,D,0.583,0.41
1978,Kansas,John W. Carlin,Robert F. Bennett,D,R,0.494,0.473
